series_name,series_id,new_datapoints_added
E_PRSVCPR@HON.Q,53581,1
E_SVCPR@MAU.M,53588,2
E_PRSVCPR@MAU.M,53589,2
E_SVCPR@MAU.Q,53590,1
E_PRSVCPR@MAU.Q,53591,1
E_PRSVCPRNS@NBI.M,53593,1
E_PRSVCPRNS@NBI.Q,53594,1
E_SVCPRNS@HI.M,53609,2
E_SVCPRNS@HI.Q,53610,1
E_SVCPRNS@HON.M,53612,2
E_SVCPRNS@HON.Q,53613,1
E_SVCPR@NBI.M,53622,3
E_SVCPR@NBI.Q,53623,1
E_SVCPRNS@NBI.M,53629,1
E_SVCPRNS@NBI.Q,53630,1
E_SVNS@NBI.M,53631,1
E_SVNS@NBI.Q,53632,1
E_TRADE@HI.Q,53650,1
E_TRADE@MAU.Q,53654,1
E_TRADENS@NBI.M,53666,1
E_TRADENS@NBI.Q,53667,1
E_TTUNS@HI.M,53673,2
E_TTUNS@HI.Q,53674,1
E_TTUNS@HON.M,53676,1
E_TTU@NBI.M,53686,2
E_TTU@NBI.Q,53687,1
E_TTUNS@NBI.M,53693,1
E_TTUNS@NBI.Q,53694,1
E_TTUSA@HI.Q,53695,1
E_TU@HI.Q,53697,1
E_TU@HON.Q,53698,1
E_TU@MAU.Q,53701,1
E_TU@NBI.M,53703,1
E_TU@NBI.Q,53704,1
LF@CA.M,54618,2
LF@CA.Q,54619,1
LF@HAW.Q,54627,1
LF@HI.Q,54629,1
LF@HON.Q,54633,1
LF@KAU.Q,54640,1
LF@MAU.Q,54644,1
LF@NBI.M,54646,2
LF@NBI.Q,54647,1
LFNS@HI.Q,54666,1
LFNS@NBI.M,54670,2
LFNS@NBI.Q,54671,1
LFSA@HI.Q,54705,1
PCNS@HI.D,54982,5
PCDMNS@HI.D,55019,5
PCDMNS@HAW.D,55024,5
PCDMNS@HON.D,55025,5
PCDMNS@KAU.D,55026,1
PCDMNS@MAU.D,55027,1
PCITJPNS@HI.D,55102,2
PCITNS@HI.D,55107,2
PCITOTNS@HI.D,55108,2
UR@CA.M,57145,1
UR@CA.Q,57146,1
UR@HAW.Q,57151,1
URNS@HI.M,57152,1
UR@HI.Q,57156,1
UR@HON.Q,57161,1
UR@KAU.Q,57169,1
UR@MAU.Q,57174,1
URNS@NBI.M,57175,2
UR@NBI.M,57177,2
UR@NBI.Q,57178,1
URNS@NBI.Q,57197,1
URSA@HI.Q,57198,1
WHAFNS@HI.M,60152,2
WHAFNS@HI.Q,60153,1
WHAFNS@HON.M,60157,2
WHAFNS@HON.Q,60158,1
WHAFFDNS@HI.M,60172,2
WHAFFDNS@HON.M,60176,2
WHAFFDNS@HON.Q,60177,1
WHAFFDNS@HI.Q,60181,1
WHCTNS@HI.M,60188,2
WHCTNS@HI.Q,60189,1
WHCTNS@HON.M,60193,2
WHCTNS@HON.Q,60194,1
WHMNNS@HI.M,60228,2
WHMNNS@HI.Q,60229,1
WHMNNS@HON.M,60233,2
WHMNNS@HON.Q,60234,1
WHRTNS@HI.M,60288,1
WHRTNS@HI.Q,60289,1
WHRTNS@HON.M,60293,1
WHRTNS@HON.Q,60294,1
WHWTNS@HI.M,60348,2
WHWTNS@HI.Q,60349,1
WHWTNS@HON.M,60353,2
WHWTNS@HON.Q,60354,1
WH_FINNS@HI.M,60362,2
WH_FINNS@HI.Q,60363,1
WH_FINNS@HON.M,60367,2
WH_FINNS@HON.Q,60368,1
WH_TTUNS@HI.M,60392,2
WH_TTUNS@HI.Q,60393,1
WH_TTUNS@HON.M,60397,1
WH_TTUNS@HON.Q,60398,1
WWAFNS@HI.M,60406,2
WWAFNS@HI.Q,60407,1
WWAFNS@HON.M,60411,2
WWAFNS@HON.Q,60412,1
WWAFFDNS@HI.M,60426,2
WWAFFDNS@HON.M,60430,2
WWAFFDNS@HON.Q,60431,1
WWAFFDNS@HI.Q,60435,1
WWCTNS@HI.M,60442,2
WWCTNS@HI.Q,60443,1
WWCTNS@HON.M,60447,2
WWCTNS@HON.Q,60448,1
WWMNNS@HI.M,60482,2
WWMNNS@HI.Q,60483,1
WWMNNS@HON.M,60487,2
WWMNNS@HON.Q,60488,1
WWRTNS@HI.M,60542,1
WWRTNS@HI.Q,60543,1
WWRTNS@HON.M,60547,1
WWRTNS@HON.Q,60548,1
WWWTNS@HI.M,60602,2
WWWTNS@HI.Q,60603,1
WWWTNS@HON.M,60607,2
WWWTNS@HON.Q,60608,1
WW_FINNS@HI.M,60616,2
WW_FINNS@HI.Q,60617,1
WW_FINNS@HON.M,60621,2
WW_FINNS@HON.Q,60622,1
WW_TTUNS@HI.M,60646,2
WW_TTUNS@HI.Q,60647,1
WW_TTUNS@HON.M,60651,1
WW_TTUNS@HON.Q,60652,1
YLMNDR_R@HON.A,61758,2
YLMNND_R@HON.A,61794,3
ECT@HAW.M,63950,1
EMN@HAW.M,63951,1
E_TU@HAW.M,63952,1
EWT@HAW.M,63953,1
ERT@HAW.M,63954,2
E_TRADE@HAW.M,63955,2
EIF@HAW.M,63956,2
EFI@HAW.M,63957,1
ERE@HAW.M,63958,2
E_FIR@HAW.M,63959,2
EPS@HAW.M,63960,1
EMA@HAW.M,63961,1
EAD@HAW.M,63962,2
E_PBS@HAW.M,63963,2
EED@HAW.M,63964,1
EHC@HAW.M,63965,2
E_EDHC@HAW.M,63966,2
EAE@HAW.M,63967,2
EAFAC@HAW.M,63968,2
EAFFD@HAW.M,63969,2
EAF@HAW.M,63970,2
E_LH@HAW.M,63971,2
EOS@HAW.M,63972,1
EGVFD@HAW.M,63973,2
EGVST@HAW.M,63974,1
EGVLC@HAW.M,63975,1
E_GVSL@HAW.M,63976,1
EGV@HI.M,63977,2
EGV@HAW.M,63978,2
E_NF@HAW.M,63979,2
E_NF@HAW.Q,63982,1
EWT@HON.M,63985,1
ERT@HON.M,63986,2
E_TRADE@HON.M,63987,2
EIF@HON.M,63988,2
EPS@HON.M,63989,2
EMA@HON.M,63990,1
EAD@HON.M,63991,2
E_PBS@HON.M,63992,2
EED@HON.M,63993,2
E_EDHC@HON.M,63994,2
EAE@HON.M,63995,2
E_LH@HON.M,63996,2
EOS@HON.M,63997,1
ECT@KAU.M,64002,1
EMN@KAU.M,64003,1
E_TU@KAU.M,64004,1
EWT@KAU.M,64005,1
ERT@KAU.M,64006,2
E_TRADE@KAU.M,64007,2
EIF@KAU.M,64008,2
EFI@KAU.M,64009,1
ERE@KAU.M,64010,2
E_FIR@KAU.M,64011,2
EPS@KAU.M,64012,1
EMA@KAU.M,64013,1
EAD@KAU.M,64014,2
E_PBS@KAU.M,64015,2
EED@KAU.M,64016,1
EHC@KAU.M,64017,2
E_EDHC@KAU.M,64018,2
EAE@KAU.M,64019,2
EAFAC@KAU.M,64020,2
EAFFD@KAU.M,64021,2
EAF@KAU.M,64022,2
E_LH@KAU.M,64023,2
EOS@KAU.M,64024,1
EGVFD@KAU.M,64025,2
EGVST@KAU.M,64026,1
EGVLC@KAU.M,64027,1
E_GVSL@KAU.M,64028,1
EGV@KAU.M,64029,2
E_NF@KAU.M,64030,2
E_NF@KAU.Q,64033,1
EAE@MAU.M,64035,2
E_LH@MAU.M,64036,2
EAD@HAW.Q,64037,1
EAD@HON.Q,64038,1
EAD@KAU.Q,64039,1
EAD@NBI.M,64040,2
EAD@NBI.Q,64041,1
EAE@HAW.Q,64042,1
EAE@HON.Q,64043,1
EAE@KAU.Q,64044,1
EAE@MAU.Q,64045,1
EAE@NBI.M,64046,2
EAE@NBI.Q,64047,1
EAF@HAW.Q,64048,1
EAF@KAU.Q,64049,1
EAFAC@HAW.Q,64050,1
EAFAC@KAU.Q,64051,1
EAFFD@HAW.Q,64052,1
EAFFD@KAU.Q,64053,1
ECT@HAW.Q,64056,1
ECT@KAU.Q,64057,1
EED@HAW.Q,64058,1
EED@HON.Q,64059,1
EED@KAU.Q,64060,1
EED@NBI.M,64062,2
EED@NBI.Q,64063,1
EFI@HAW.Q,64064,1
EFI@KAU.Q,64065,1
EGV@HAW.Q,64067,1
EGV@HI.Q,64068,1
EGV@KAU.Q,64069,1
EGV@NBI.M,64070,3
EGV@NBI.Q,64071,1
EGVFD@HAW.Q,64072,1
EGVFD@KAU.Q,64074,1
EGVLC@HAW.Q,64076,1
EGVLC@KAU.Q,64077,1
EGVST@HAW.Q,64078,1
EGVST@KAU.Q,64079,1
EHC@HAW.Q,64080,1
EHC@KAU.Q,64081,1
EIF@HAW.Q,64082,1
EIF@HON.Q,64083,1
EIF@KAU.Q,64084,1
EIF@NBI.M,64085,2
EIF@NBI.Q,64086,1
EMA@HAW.Q,64087,1
EMA@HON.Q,64089,1
EMA@KAU.Q,64090,1
EMA@NBI.M,64092,1
EMA@NBI.Q,64093,1
EMN@HAW.Q,64094,1
EMN@KAU.Q,64095,1
EOS@HAW.Q,64096,1
EOS@HON.Q,64097,1
EOS@KAU.Q,64098,1
EOS@NBI.M,64099,1
EOS@NBI.Q,64100,1
EPS@HAW.Q,64101,1
EPS@HON.Q,64102,1
EPS@KAU.Q,64103,1
EPS@NBI.M,64105,2
EPS@NBI.Q,64106,1
ERE@HAW.Q,64107,1
ERE@KAU.Q,64108,1
ERT@HAW.Q,64109,1
ERT@HON.Q,64110,1
ERT@KAU.Q,64111,1
ERT@NBI.M,64112,2
ERT@NBI.Q,64113,1
EWT@HAW.Q,64114,1
EWT@HON.Q,64115,1
EWT@KAU.Q,64116,1
EWT@NBI.M,64118,1
EWT@NBI.Q,64119,1
E_EDHC@HAW.Q,64120,1
E_EDHC@HON.Q,64121,1
E_EDHC@KAU.Q,64122,1
E_EDHC@NBI.M,64123,2
E_EDHC@NBI.Q,64124,1
E_SV@HAW.M,64125,2
E_ELSE@HAW.M,64126,2
E_FIR@HAW.Q,64127,1
E_SV@HAW.Q,64128,1
E_ELSE@HAW.Q,64129,1
E_SV@HI.M,64130,2
E_ELSE@HI.M,64131,2
E_SV@HI.Q,64132,1
E_ELSE@HI.Q,64133,1
E_SV@KAU.M,64134,2
E_ELSE@KAU.M,64135,2
E_FIR@KAU.Q,64136,1
E_SV@KAU.Q,64137,1
E_ELSE@KAU.Q,64138,1
E_ELSE@NBI.M,64139,2
E_ELSE@NBI.Q,64140,1
E_GDSPR@HAW.M,64141,1
E_GDSPR@HAW.Q,64142,1
E_GDSPR@KAU.M,64143,1
E_GDSPR@KAU.Q,64144,1
E_GVSL@HAW.Q,64145,1
E_GVSL@KAU.Q,64146,1
E_LH@HAW.Q,64147,1
E_LH@HON.Q,64148,1
E_LH@KAU.Q,64149,1
E_LH@MAU.Q,64150,1
E_LH@NBI.M,64151,2
E_LH@NBI.Q,64152,1
E_PBS@HAW.Q,64153,1
E_PBS@HON.Q,64154,1
E_PBS@KAU.Q,64155,1
E_PBS@NBI.M,64156,2
E_PBS@NBI.Q,64157,1
E_PR@HAW.M,64158,2
E_PR@HAW.Q,64159,1
E_PR@HI.M,64160,2
E_PR@HI.Q,64161,1
E_PR@KAU.M,64162,2
E_PR@KAU.Q,64163,1
E_PR@NBI.M,64164,2
E_PR@NBI.Q,64165,1
E_SVCPR@HAW.M,64166,2
E_PRSVCPR@HAW.M,64167,2
E_SVCPR@HAW.Q,64168,1
E_PRSVCPR@HAW.Q,64169,1
E_PRSVCPR@HI.M,64170,2
E_PRSVCPR@HI.Q,64171,1
E_SVCPR@KAU.M,64172,2
E_PRSVCPR@KAU.M,64173,2
E_SVCPR@KAU.Q,64174,1
E_PRSVCPR@KAU.Q,64175,1
E_PRSVCPR@NBI.M,64176,2
